source,target,link
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/nominal_resolution","model-component:nominal_resolution"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/components","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/realms","model-component:realm"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/native_nominal_resolution","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/native_nominal_resolution","","cf:unit"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/model/native_nominal_resolution","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
